costat,curcdq,datafmt,indfmt,consol,cik,datadate,gvkey,conm,tic,atq,cheq,cshoq,ltq,ppentq,saleq,saley,prccq
A,USD,STD,INDL,C,0001334036,2010-09-30,164755,CROCS INC,CROX,554.6710,143.6340,87.1370,189.7240,65.8820,215.6050,610.5030,13.000000000000
A,USD,STD,INDL,C,0001334036,2011-06-30,164755,CROCS INC,CROX,683.5140,179.9790,89.3900,214.5090,69.3370,295.5850,522.2930,25.750000000000
A,USD,STD,INDL,C,0001334036,2012-09-30,164755,CROCS INC,CROX,891.6040,312.5800,90.4660,250.6200,76.5770,295.5690,898.3090,16.210000000000
A,USD,STD,INDL,C,0001334036,2013-06-30,164755,CROCS INC,CROX,918.9610,289.3540,88.3460,251.3520,88.7700,363.8270,675.4830,16.500000000000
A,USD,STD,INDL,C,0001334036,2015-12-31,164755,CROCS INC,CROX,608.0200,143.3410,72.8510,186.3910,49.4900,208.6780,1090.6300,10.240000000000
A,USD,STD,INDL,C,0001334036,2017-06-30,164755,CROCS INC,CROX,630.5940,159.4230,73.0000,203.2510,41.0180,313.2210,581.1280,7.710000000000
A,USD,STD,INDL,C,0001334036,2017-09-30,164755,CROCS INC,CROX,589.6530,180.3640,71.0000,174.0750,38.4120,243.2730,824.4010,9.700000000000
A,USD,STD,INDL,C,0001334036,2017-12-31,164755,CROCS INC,CROX,543.6950,174.2720,68.7910,175.3970,35.0320,199.1120,1023.5130,12.640000000000
A,USD,STD,INDL,C,0001334036,2019-09-30,164755,CROCS INC,CROX,685.5150,89.3780,68.6030,567.9910,225.3060,312.7660,967.6140,27.760000000000
A,USD,STD,INDL,C,0001334036,2020-09-30,164755,CROCS INC,CROX,802.0450,125.1270,67.5000,574.0580,253.7230,361.7360,974.4450,42.730000000000
A,USD,STD,INDL,C,0001334036,2021-06-30,164755,CROCS INC,CROX,1493.8020,199.3220,62.3820,1135.0380,252.3270,640.7730,1100.8710,116.520000000000
A,USD,STD,INDL,C,0001334036,2022-09-30,164755,CROCS INC,CROX,4543.1680,142.9730,61.7450,3912.3660,411.9220,985.0940,2609.8230,68.660000000000
A,USD,STD,INDL,C,0001334036,2023-06-30,164755,CROCS INC,CROX,4603.1250,166.2370,62.0670,3413.4350,441.9200,1072.3670,1956.5330,112.440000000000
A,USD,STD,INDL,C,0001334036,2010-12-31,164755,CROCS INC,CROX,549.4810,145.5830,88.0660,173.3750,70.0140,179.1920,789.6950,17.120000000000
A,USD,STD,INDL,C,0001334036,2011-03-31,164755,CROCS INC,CROX,613.3870,115.4990,88.4110,207.2160,69.4550,226.7080,226.7080,17.840000000000
A,USD,STD,INDL,C,0001334036,2011-09-30,164755,CROCS INC,CROX,704.2540,220.3880,89.7260,214.0050,66.1150,274.8960,797.1890,23.680000000000
A,USD,STD,INDL,C,0001334036,2012-12-31,164755,CROCS INC,CROX,829.6380,294.3480,88.6630,212.2380,82.2410,224.9920,1123.3010,14.390000000000
A,USD,STD,INDL,C,0001334036,2014-03-31,164755,CROCS INC,CROX,1108.9500,411.8060,87.8890,304.3670,86.4130,312.4290,312.4290,15.600000000000
A,USD,STD,INDL,C,0001334036,2014-06-30,164755,CROCS INC,CROX,1101.8730,408.9530,85.8050,306.6890,83.3160,376.9200,689.3490,15.030000000000
A,USD,STD,INDL,C,0001334036,2016-06-30,164755,CROCS INC,CROX,666.3960,146.6620,73.4820,211.3640,46.4090,323.8280,602.9680,11.280000000000
A,USD,STD,INDL,C,0001334036,2016-09-30,164755,CROCS INC,CROX,625.1730,150.2160,73.5360,172.6810,45.8200,245.8880,848.8560,8.300000000000
A,USD,STD,INDL,C,0001334036,2018-06-30,164755,CROCS INC,CROX,604.3740,173.5550,68.1000,221.8320,27.0380,328.0040,611.1520,17.610000000000
A,USD,STD,INDL,C,0001334036,2018-09-30,164755,CROCS INC,CROX,577.9460,204.9540,67.6000,195.6250,24.2160,261.0640,872.2160,21.290000000000
A,USD,STD,INDL,C,0001334036,2018-12-31,164755,CROCS INC,CROX,468.9010,125.3130,73.3060,318.5930,22.2110,215.9890,1088.2050,25.980000000000
A,USD,STD,INDL,C,0001334036,2019-12-31,164755,CROCS INC,CROX,738.8020,109.7530,68.2320,606.8970,229.6330,262.9790,1230.5930,41.890000000000
A,USD,STD,INDL,C,0001334036,2020-12-31,164755,CROCS INC,CROX,1118.7230,137.3440,65.8560,828.0900,224.8880,411.5060,1385.9510,62.660000000000
A,USD,STD,INDL,C,0001334036,2021-09-30,164755,CROCS INC,CROX,1745.0650,438.0130,61.5010,1392.2340,262.2750,625.9190,1726.7900,143.480000000000
A,USD,STD,INDL,C,0001334036,2023-09-30,164755,CROCS INC,CROX,4581.3640,127.3220,60.7780,3381.1060,536.6690,1045.7170,3002.2500,88.230000000000
A,USD,STD,INDL,C,0001334036,2023-12-31,164755,CROCS INC,CROX,4643.8340,149.2900,60.4950,3189.9110,525.7550,960.0970,3962.3470,93.410000000000
A,USD,STD,INDL,C,0001334036,2010-06-30,164755,CROCS INC,CROX,497.0530,97.4570,86.4820,171.2450,66.7310,228.0460,394.8980,10.580000000000
A,USD,STD,INDL,C,0001334036,2012-03-31,164755,CROCS INC,CROX,773.2650,206.6030,89.8950,243.9460,67.6360,271.7980,271.7980,20.920000000000
A,USD,STD,INDL,C,0001334036,2013-12-31,164755,CROCS INC,CROX,875.1590,317.1440,88.4500,250.4150,86.9710,228.6730,1192.6800,15.920000000000
A,USD,STD,INDL,C,0001334036,2015-06-30,164755,CROCS INC,CROX,810.4480,197.2790,75.8460,233.1880,59.5010,345.6710,607.8640,14.710000000000
A,USD,STD,INDL,C,0001334036,2017-03-31,164755,CROCS INC,CROX,601.1560,91.4230,74.1000,186.9770,43.8010,267.9070,267.9070,7.070000000000
A,USD,STD,INDL,C,0001334036,2019-03-31,164755,CROCS INC,CROX,689.2060,88.2110,72.0090,566.2610,193.1400,295.9490,295.9490,25.750000000000
A,USD,STD,INDL,C,0001334036,2019-06-30,164755,CROCS INC,CROX,714.1410,109.6270,69.6150,602.2050,200.0450,358.8990,654.8480,19.750000000000
A,USD,STD,INDL,C,0001334036,2021-03-31,164755,CROCS INC,CROX,1362.3230,257.3420,65.2250,1036.0920,249.9350,460.0980,460.0980,80.450000000000
A,USD,STD,INDL,C,0001334036,2023-03-31,164755,CROCS INC,CROX,4595.6350,125.6890,62.0230,3627.1350,424.4730,884.1660,884.1660,126.440000000000
A,USD,STD,INDL,C,0001334036,2024-06-30,164755,CROCS INC,CROX,4719.7980,167.7360,59.5520,3066.5870,536.1560,1111.5020,2050.1350,145.940000000000
A,USD,STD,INDL,C,0001334036,2025-03-31,164755,CROCS INC,CROX,5066.1160,166.4600,56.0570,3096.5230,581.5970,937.3330,937.3330,106.200000000000
A,USD,STD,INDL,C,0001334036,2012-06-30,164755,CROCS INC,CROX,815.7200,278.8270,90.2050,232.0400,68.5850,330.9420,602.7400,16.150000000000
A,USD,STD,INDL,C,0001334036,2013-03-31,164755,CROCS INC,CROX,876.8380,232.6730,88.1020,243.0240,85.7460,311.6560,311.6560,14.820000000000
A,USD,STD,INDL,C,0001334036,2013-09-30,164755,CROCS INC,CROX,946.5860,332.4910,88.4260,256.3610,94.2330,288.5240,964.0070,13.600000000000
A,USD,STD,INDL,C,0001334036,2020-03-31,164755,CROCS INC,CROX,836.2400,108.6330,67.3750,742.2110,240.0890,281.1600,281.1600,16.990000000000
A,USD,STD,INDL,C,0001334036,2020-06-30,164755,CROCS INC,CROX,810.8840,153.0600,67.4550,654.0000,235.6260,331.5490,612.7090,36.820000000000
